Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,-0.25689432,2.835315,2.0,1.5,4.0,1.0,0.03347869,0.028558241,0.0002966208,0.19887361,0.0049437922,2931.0,-30.50000125169754,-30.50000125169754,1.0
60000,-0.27617913,2.8373566,2.0,1.0,2.0,1.0,0.10877277,0.017727591,0.0002958489,0.19861634,0.004930954,None,None,None,1.0
70000,-0.36152202,2.8177397,2.0,2.0,3.0,1.0,0.03790685,0.025624571,0.00029500888,0.19833627,0.0049169813,None,None,None,1.0
80000,-0.42866874,2.8136852,1.0,1.5,2.0,0.5,0.036754444,0.024630582,0.00029423615,0.19807868,0.0049041263,4999.0,-46.190001455694436,-46.190001455694436,1.0
90000,-0.4861586,2.8345754,1.0,1.0,1.0,0.0,0.047094725,0.03045823,0.00029346385,0.19782127,0.004891282,None,None,None,1.0
100000,-0.55540156,2.8133674,1.0,1.0,1.5,0.0,0.046464764,0.02169595,0.0002926911,0.1975637,0.004878429,None,None,None,1.0
110000,-0.6279301,2.7709453,2.0,1.5,2.0,0.0,0.03253766,0.025570124,0.00029185117,0.19728372,0.004864456,None,None,None,1.0
120000,-0.65864414,2.771095,2.5,3.5,2.0,1.0,0.08141638,0.025925465,0.00029108237,0.1970274,0.0048516695,4361.0,-38.40000103414059,-38.40000103414059,1.0
130000,-0.6536699,2.8122144,3.0,1.0,1.0,2.5,0.04685855,0.017284244,0.00029030963,0.19676985,0.004838815,None,None,None,1.0
140000,-0.72336096,2.780426,6.0,1.0,1.0,4.0,None,None,None,None,None,None,None,None,1.0
150000,-0.76696235,2.7347882,6.5,1.0,1.0,4.5,0.035547502,0.026422312,0.0002894696,0.19648984,0.0048248447,None,None,None,1.0
160000,-0.59921706,2.8020093,0.0,1.5,0.0,0.0,0.03878388,0.019524213,0.0002886968,0.19623227,0.0048119887,4964.733333333334,-42.43000140140454,-42.43000140140454,1.0
170000,-0.6471584,2.7924578,0.0,1.0,0.0,0.0,0.06651288,0.023236142,0.00028792475,0.19597489,0.004799147,None,None,None,1.0
180000,-0.74364,2.7530088,0.0,2.5,0.5,1.0,0.055206224,0.02763172,0.00028715192,0.1957173,0.004786293,None,None,None,1.0
190000,-0.73707795,2.710126,0.0,4.5,2.0,2.0,0.04160485,0.024222173,0.00028637907,0.19545971,0.004773439,None,None,None,1.0
200000,-0.71347404,2.731231,0.5,7.0,2.0,2.0,0.04107993,0.023823632,0.00028554388,0.19518133,0.0047595478,4999.0,-33.450001899152994,-33.450001899152994,1.0
210000,-0.6651349,2.7774239,1.5,1.0,1.5,2.5,0.037207983,0.019340515,0.00028477528,0.19492514,0.004746763,None,None,None,1.0
220000,-0.68692577,2.7471201,2.0,3.0,2.0,3.0,0.039347067,0.019834226,0.0002840025,0.19466747,0.0047339075,None,None,None,1.0
230000,-0.70417875,2.7060704,2.0,4.0,3.0,3.0,0.036816757,0.028952897,0.00028322972,0.19440989,0.0047210543,None,None,None,1.0
240000,-0.76315206,2.7602367,0.0,0.0,0.0,0.0,0.035313625,0.026235769,0.00028239872,0.19413286,0.0047072317,4999.0,-37.27666802828511,-37.27666802828511,1.0
250000,-0.6786416,2.7478302,1.0,0.0,1.0,0.0,0.04183241,0.023044353,0.00028161748,0.1938725,0.004694238,None,None,None,1.0
260000,-0.5829462,2.6893795,1.0,1.5,3.5,0.5,0.04039242,0.02109218,0.0002808447,0.19361492,0.0046813833,None,None,None,1.0
270000,-0.55552197,2.6302488,1.0,2.5,5.0,2.5,0.046914063,0.019244386,0.00028007192,0.19335733,0.004668529,None,None,None,1.0
280000,-0.62750846,2.7231243,1.5,3.0,5.0,3.0,0.089929715,0.024628898,0.00027930125,0.19310042,0.00465571,3472.5,-13.20000121742487,-13.20000121742487,1.0
290000,-0.68244445,2.6816506,2.0,2.0,2.0,2.0,0.04524938,0.024698755,0.00027847092,0.19282357,0.0046418994,None,None,None,1.0
300000,-0.5925823,2.6293042,3.0,2.0,3.0,3.0,0.029582208,0.026407717,0.0002776981,0.192566,0.004629045,None,None,None,1.0
310000,-0.5366933,2.5751393,3.0,2.0,3.0,5.5,0.030262053,0.017384281,0.00027692533,0.19230843,0.0046161907,None,None,None,1.0
320000,-0.71218085,2.6912084,0.0,0.5,0.0,0.0,0.022416359,0.02403397,0.0002761567,0.19205226,0.004603406,4999.0,-30.31428693048656,-30.31428693048656,1.0
330000,-0.7889538,2.670071,1.0,0.0,0.0,2.0,0.038822595,0.027897088,0.00027538565,0.19179526,0.004590581,None,None,None,1.0
340000,-0.77479184,2.5845292,2.5,1.5,2.0,2.0,0.03770618,0.02220461,0.0002746129,0.19153766,0.004577727,None,None,None,1.0
350000,-0.7290084,2.4739568,3.5,2.0,3.0,3.0,0.0307019,0.02562219,0.0002738401,0.19128002,0.0045648725,None,None,None,1.0
360000,-0.7000396,2.592068,1.0,1.0,1.0,1.5,0.052690446,0.02513148,0.00027307088,0.19102366,0.0045520794,4999.0,-42.575001299381256,-42.575001299381256,1.0
370000,-0.6822024,2.5363073,1.0,1.0,1.5,1.5,None,None,None,None,None,None,None,None,1.0
380000,-0.6355863,2.4991317,1.5,1.0,2.0,1.0,0.033719305,0.026063008,0.0002722405,0.19074681,0.004538267,3722.0,-15.200001418590546,-15.200001418590546,1.0
390000,-0.7175188,2.558458,1.0,1.0,2.0,2.0,0.07522083,0.022980545,0.00027147165,0.19049057,0.004525478,None,None,None,1.0
400000,-0.67902523,2.5053813,0.0,0.0,0.0,0.0,0.03858245,0.021091009,0.00027069883,0.19023292,0.004512624,4999.0,-31.900001378300097,-31.900001378300097,1.0
410000,-0.68045324,2.4930003,0.0,0.0,0.0,2.0,0.057380438,0.02403987,0.0002699279,0.1899759,0.0044997996,None,None,None,1.0
420000,-0.59740996,2.3275206,0.5,0.0,0.0,5.0,0.039989196,0.022254242,0.00026915508,0.18971832,0.004486946,None,None,None,1.0
430000,-0.5357076,2.2174742,1.5,0.0,0.0,5.0,0.022274977,0.023786616,0.0002683822,0.18946075,0.004474091,None,None,None,1.0
440000,-0.6665183,2.492847,2.0,1.0,1.0,3.0,0.029201081,0.026124017,0.00026761368,0.18920456,0.004461306,4999.0,-18.32500077225268,-18.32500077225268,1.0
450000,-0.72111523,2.4776754,2.0,2.0,2.0,1.5,0.065471746,0.024703939,0.00026684502,0.18894832,0.0044485233,None,None,None,1.0
460000,-0.6041602,2.267263,3.0,2.0,2.0,2.0,0.032707892,0.020033602,0.00026607228,0.18869072,0.0044356682,4999.0,-23.400001347064972,-23.400001347064972,1.0
470000,-0.60108626,2.44078,3.0,1.0,1.0,2.0,0.041198004,0.022947477,0.00026530365,0.18843457,0.0044228835,None,None,None,1.0
480000,-0.5374066,2.3848476,0.0,0.5,0.0,0.0,0.052008785,0.026726743,0.00026448225,0.18816076,0.004409222,4999.0,-20.653847196640875,-20.653847196640875,1.0
490000,-0.55524474,2.3277042,1.0,1.0,1.0,0.0,0.0874358,0.033462074,0.00026370224,0.1879007,0.0043962467,None,None,None,1.0
500000,-0.42478928,1.9406078,1.0,4.0,1.5,0.0,0.050969563,0.028375797,0.0002629295,0.18764313,0.0043833936,None,None,None,1.0
510000,-0.39219558,1.7545831,1.0,4.0,3.0,0.0,0.033369567,0.027579503,0.00026215665,0.18738556,0.004370539,None,None,None,1.0
520000,-0.49449468,2.365554,1.0,3.0,1.5,0.0,0.03332336,0.024630737,0.0002613881,0.18712936,0.0043577543,4999.0,-19.225001119077206,-19.225001119077206,1.0
530000,-0.49279043,2.2377262,2.0,2.5,2.0,1.0,0.054099835,0.026281444,0.00026061948,0.18687312,0.00434497,None,None,None,1.0
540000,-0.4309042,1.9614384,3.5,4.5,1.0,3.0,0.050665133,0.031234346,0.00025984662,0.18661553,0.004332116,4999.0,-9.100000731647015,-9.100000731647015,1.0
550000,-0.49867254,2.0867336,4.0,5.0,1.0,1.5,0.051403333,0.02651646,0.00025907808,0.18635936,0.0043193316,None,None,None,1.0
560000,-0.44374296,2.0080492,0.5,0.0,0.5,1.5,0.058372185,0.024626695,0.00025830945,0.1861032,0.0043065473,4999.0,-17.43461642958797,-17.43461642958797,1.0
570000,-0.44849166,2.0593047,1.0,0.0,1.0,6.0,0.079995245,0.023015598,0.00025753907,0.18584636,0.004293733,None,None,None,1.0
580000,-0.3849593,1.7651199,3.0,0.0,2.0,6.0,0.044169623,0.028275097,0.00025676625,0.18558878,0.004280879,None,None,None,1.0
590000,-0.31587362,1.4180971,3.0,1.0,2.0,6.0,0.026427655,0.024354357,0.0002559935,0.18533118,0.004268023,None,None,None,1.0
600000,-0.37467542,2.0415628,1.0,1.5,1.0,6.0,0.047091134,0.02020939,0.00025522427,0.18507476,0.004255229,4999.0,-24.9000013358891,-24.9000013358891,1.0
610000,-0.38584757,1.9805479,2.0,1.0,1.0,1.0,0.065972716,0.024671765,0.00025439868,0.18479958,0.0042414973,None,None,None,1.0
620000,-0.28814605,2.0227647,3.0,1.0,3.5,2.0,0.13066247,0.021492623,0.00025362763,0.18454258,0.004228673,4119.0,-0.8250006064772606,-0.8250006064772606,1.0
630000,-0.36196852,2.0874515,5.0,1.0,1.0,2.5,0.07045112,0.021698771,0.0002528591,0.18428631,0.0042158887,None,None,None,1.0
640000,-0.332625,2.16382,0.0,0.0,2.0,0.0,0.05020779,0.020933283,0.00025209045,0.18403012,0.0042031044,4999.0,-13.291667542420328,-13.291667542420328,1.0
650000,-0.3557359,2.136445,0.0,1.0,1.0,1.0,0.13758442,0.023218822,0.00025132243,0.1837741,0.004190328,296.0,19.100000023841858,19.100000023841858,1.0
