Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
660000,8.098764,0.82490325,6.0,13.0,12.0,3.0,1589.6,162.75600023269652,162.75600023269652,1.1909747,0.016895108,0.00025089228,0.18363076,0.008364712,1.0
670000,8.217237,0.8427878,2.5,3.0,4.0,3.5,1984.5,212.4650021791458,212.4650021791458,1.1647409,0.017311977,0.000250117,0.18337232,0.008338895,1.0
680000,8.35444,0.8062456,5.5,7.5,6.0,1.0,2976.5,292.0933351566394,292.0933351566394,1.2420795,0.019220134,0.00024934023,0.1831134,0.008313029,1.0
690000,8.532822,0.8219899,3.5,4.0,5.0,10.0,2489.5,254.33333526055017,254.33333526055017,1.3736118,0.01584471,0.00024856706,0.18285568,0.008287282,1.0
700000,8.649261,0.7920194,5.5,3.5,5.5,6.0,1627.0,171.47600083351136,171.47600083351136,1.176577,0.014967138,0.00024779164,0.1825972,0.00826146,1.0
710000,8.761156,0.79226255,8.0,8.0,10.0,9.0,1508.5,165.6700004339218,165.6700004339218,1.0112777,0.014474848,0.00024702042,0.18234013,0.008235779,1.0
720000,8.792881,0.7983052,6.5,3.5,4.5,4.5,1357.2,158.48800163269044,158.48800163269044,1.094486,0.014639562,0.0002462506,0.18208353,0.008210143,1.0
730000,8.939522,0.793739,1.5,2.5,2.5,3.5,2349.6,244.49199891090393,244.49199891090393,1.0982879,0.015916517,0.0002454727,0.18182425,0.00818424,1.0
740000,9.053668,0.7759317,5.0,7.0,4.0,7.0,1289.0,134.28500071167946,134.28500071167946,1.1185484,0.020012219,0.0002446997,0.18156657,0.0081584975,1.0
750000,9.284824,0.76717013,10.0,8.5,7.5,10.0,2513.8333333333335,266.3566673199336,266.3566673199336,1.0974752,0.017586933,0.00024392914,0.1813097,0.00813284,1.0
760000,9.249934,0.77102715,2.5,10.0,9.5,4.5,3048.0,339.0439994812012,339.0439994812012,1.1696228,0.019048521,0.00024315709,0.18105236,0.0081071295,1.0
770000,9.393618,0.7799126,3.0,1.0,5.5,5.0,2243.8,248.0160024046898,248.0160024046898,1.2138575,0.015664805,0.00024238795,0.18079597,0.008081516,1.0
780000,9.472735,0.76756227,10.0,8.0,10.5,10.5,569.25,65.924999833107,65.924999833107,1.0112945,0.01594795,0.00024161344,0.18053779,0.008055726,1.0
790000,9.5809765,0.75807947,3.0,2.5,3.5,3.0,1656.2,189.4320004463196,189.4320004463196,1.0912414,0.019990524,0.00024083842,0.18027945,0.008029917,1.0
800000,9.657347,0.74762166,4.0,4.5,7.5,7.5,2255.5,237.55000096062818,237.55000096062818,1.0038239,0.016488172,0.00024006348,0.18002115,0.008004112,1.0
810000,9.719501,0.7252367,3.5,6.5,5.5,7.0,1516.6,152.37200050354005,152.37200050354005,1.0009209,0.01394202,0.00023929225,0.17976408,0.00797843,1.0
820000,9.789193,0.7228962,4.0,5.0,5.5,7.5,1493.0,176.51599975824357,176.51599975824357,1.0572461,0.017798759,0.00023851123,0.17950374,0.007952422,1.0
830000,9.974802,0.6881161,9.0,1.0,1.0,1.0,1825.6,206.66000072956086,206.66000072956086,None,None,None,None,None,1.0
840000,9.979912,0.67862517,3.0,2.0,6.5,2.5,2748.8,302.62400045394895,302.62400045394895,0.99002236,0.014842302,0.00023773983,0.1792466,0.007926735,1.0
850000,10.097275,0.68839914,4.5,6.0,7.0,6.0,2665.8571428571427,297.29714420384596,297.29714420384596,1.0337121,0.014249904,0.00023696787,0.17898928,0.007901028,1.0
860000,10.152078,0.6621918,8.0,5.5,6.0,6.5,1597.8,182.45600099563597,182.45600099563597,1.1237816,0.017294187,0.00023619103,0.17873034,0.007875159,1.0
