Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4020000,0.64493644,7.1771,166.25,24.875000476837158,24.875000476837158,1.0
4030000,0.6597005,7.086992,395.5,42.04250041022897,42.04250041022897,1.0
4040000,0.6746322,7.1447897,936.375,73.32250059302896,73.32250059302896,1.0
4050000,0.65107864,7.133769,1105.875,92.44250096101314,92.44250096101314,1.0
4060000,0.6494427,7.208044,985.2222222222222,79.48888981342316,79.48888981342316,1.0
4070000,0.66373134,7.270708,920.4444444444445,76.85777836127414,76.85777836127414,1.0
4080000,0.6506366,7.291474,964.2,83.71600053459406,83.71600053459406,1.0
4090000,0.6654444,7.270654,1314.5,110.31250099744648,110.31250099744648,1.0
4100000,0.65393543,7.3307347,728.6666666666666,63.7933341935277,63.7933341935277,1.0
4110000,0.65850943,7.3857636,1021.7777777777778,87.79333409749799,87.79333409749799,1.0
4120000,0.6311666,7.4962363,1564.4,128.92400126606225,128.92400126606225,1.0
4130000,0.6336756,7.5102887,757.1111111111111,63.16000095568597,63.16000095568597,1.0
4140000,0.6248358,7.532543,1101.3333333333333,100.84400092065334,100.84400092065334,1.0
4150000,0.6252347,7.639382,1161.5555555555557,96.24000131752756,96.24000131752756,1.0
4160000,0.6032809,7.646613,958.3333333333334,60.01500089932233,60.01500089932233,1.0
4170000,0.6222823,7.6331835,1223.5555555555557,130.95333465768232,130.95333465768232,1.0
4180000,0.58225566,7.802364,1178.4444444444443,107.01200121045113,107.01200121045113,1.0
4190000,0.589067,7.7384095,1584.5,139.33800159320236,139.33800159320236,1.0
4200000,0.5851904,7.769349,1030.111111111111,92.82888977809085,92.82888977809085,1.0
4210000,0.60179406,7.7992997,589.6,59.52000084295869,59.52000084295869,1.0
4220000,0.5859316,7.808749,1073.0,93.66444568418794,93.66444568418794,1.0
4230000,0.5995834,7.8097415,1095.4,100.97200100794434,100.97200100794434,1.0
4240000,0.58158386,7.961058,1149.6666666666667,102.10666775786214,102.10666775786214,1.0
4250000,0.573874,7.978581,645.7777777777778,64.58666723387108,64.58666723387108,1.0
4260000,0.56363165,8.012957,1195.888888888889,109.57777908775542,109.57777908775542,1.0
4270000,0.5410925,8.042416,1118.6666666666667,100.77777884072728,100.77777884072728,1.0
4280000,0.5524988,8.143162,1134.111111111111,98.8977792809407,98.8977792809407,1.0
