Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
420000,0.13949107,1.8522366,5.0,0.0,2.5,0.5,0.16721219,0.017466294,0.0002686797,0.1895599,0.004479038,3033.5,19.674999698996544,19.674999698996544,1.0
430000,0.17069867,1.7864771,1.5,5.0,2.0,1.0,0.1813093,0.026865462,0.00026790626,0.18930207,0.004466175,4999.0,15.59999991953373,15.59999991953373,1.0
440000,0.05426709,2.0234287,2.0,1.0,3.0,1.5,0.1427709,0.031656303,0.00026710186,0.18903396,0.004452794,4003.6666666666665,13.183333970606327,13.183333970606327,1.0
450000,0.043864083,1.7938372,2.0,1.0,1.5,1.0,0.06971736,0.022429015,0.00026633326,0.18877777,0.0044400096,None,None,None,1.0
460000,0.07090747,1.9488845,2.0,1.5,3.5,1.0,0.282828,0.025364185,0.00026556203,0.18852063,0.004427181,4980.5,28.22500129044056,28.22500129044056,1.0
470000,0.046648644,1.9593118,3.0,2.5,1.0,1.0,0.051857363,0.026328007,0.0002647893,0.18826307,0.004414327,None,None,None,1.0
480000,0.041423164,1.8839284,1.0,0.5,1.0,0.5,0.098946944,0.026749337,0.00026401645,0.18800548,0.004401474,4999.0,4.668750082608312,4.668750082608312,1.0
490000,0.09443172,1.7523621,3.0,2.0,4.0,0.0,None,None,None,None,None,None,None,None,1.0
500000,0.106156796,1.8721113,3.5,3.0,5.0,3.0,0.13730668,0.021680336,0.0002632436,0.1877479,0.004388618,4999.0,8.575000025331974,8.575000025331974,1.0
510000,0.15049118,1.8129146,3.0,4.0,2.0,2.0,0.1284749,0.026457226,0.0002624745,0.18749146,0.0043758247,4999.0,3.4500000327825546,3.4500000327825546,1.0
520000,0.2384751,1.809381,4.0,1.5,4.0,1.5,0.1927261,0.024450017,0.00026170583,0.1872353,0.00436304,4999.0,10.449999800572792,10.449999800572792,1.0
530000,0.3495553,1.7269595,3.0,1.0,1.0,2.0,0.21124133,0.025284572,0.00026093604,0.18697868,0.0043502357,1018.0,32.40000019222498,32.40000019222498,1.0
540000,0.39745206,1.7596686,1.0,1.0,1.0,1.0,0.26688984,0.024712142,0.00026016362,0.18672124,0.004337387,4999.0,42.30000074394047,42.30000074394047,1.0
550000,0.40990463,1.6913452,1.0,1.0,1.0,3.0,0.23877114,0.01570966,0.00025939438,0.1864648,0.0043245936,None,None,None,1.0
560000,0.31727344,1.7581354,1.0,0.5,0.5,2.0,0.05388725,0.017525975,0.00025862164,0.18620723,0.0043117395,4999.0,17.21875041211024,17.21875041211024,1.0
570000,0.34959692,1.6605253,0.0,0.0,0.0,2.0,0.14869906,0.021939708,0.00025784882,0.18594964,0.004298886,2613.0,43.79999965056777,43.79999965056777,1.0
580000,0.3754385,1.6740574,0.0,4.5,1.0,4.0,0.21529664,0.023994965,0.00025707675,0.18569227,0.0042860433,4999.0,58.77500016987324,58.77500016987324,1.0
590000,0.40397918,1.6526332,1.0,1.5,2.0,1.0,0.3265632,0.023863982,0.00025630754,0.18543583,0.0042732493,4999.0,17.850000113248825,17.850000113248825,1.0
600000,0.3657703,1.7426343,1.0,4.0,3.0,2.0,0.1150878,0.023014767,0.000255539,0.18517967,0.0042604646,3387.6666666666665,38.533334378153086,38.533334378153086,1.0
610000,0.4317131,1.5986668,2.0,1.5,2.5,1.0,0.47124544,0.01896736,0.00025476696,0.18492228,0.004247622,2942.0,28.050000101327896,28.050000101327896,1.0
620000,0.48315945,1.5871772,4.5,2.0,1.0,0.5,0.23723346,0.019035611,0.00025399416,0.18466473,0.0042347694,4999.0,38.29999965056777,38.29999965056777,1.0
630000,0.6646399,1.3822417,6.5,1.0,4.0,3.5,0.33793893,0.01753824,0.00025322507,0.18440832,0.0042219753,None,None,None,1.0
640000,0.54901034,1.6508961,3.5,0.5,1.0,0.5,0.108511694,0.021726102,0.0002524564,0.18415213,0.004209191,4999.0,35.14285737116422,35.14285737116422,1.0
650000,0.5048913,1.4585227,0.0,0.0,0.0,3.0,0.17789812,0.02849572,0.0002516848,0.18389496,0.0041963556,4999.0,4.450000494718552,4.450000494718552,1.0
660000,0.539929,1.510198,0.5,0.0,0.0,1.0,0.17052355,0.028607335,0.0002509156,0.18363854,0.004183562,3662.3333333333335,21.000000012417633,21.000000012417633,1.0
670000,0.52500093,1.4297774,3.5,2.5,4.0,2.5,0.3030788,0.026848922,0.0002501441,0.18338141,0.0041707307,4999.0,19.000000525265932,19.000000525265932,1.0
680000,0.6300375,1.3493799,2.0,2.5,6.0,4.0,0.14352493,0.022508197,0.00024937134,0.18312374,0.0041578766,4999.0,31.025000078603625,31.025000078603625,1.0
690000,0.7938798,1.2866932,2.0,0.5,0.0,1.0,0.36340794,0.02969558,0.000248603,0.18286762,0.004145095,3805.5,46.95000079087913,46.95000079087913,1.0
700000,0.85007536,1.3749206,3.0,3.0,2.0,2.5,0.33256838,0.022722224,0.00024783378,0.1826113,0.0041323015,3666.25,46.18750001490116,46.18750001490116,1.0
710000,0.93376994,1.4004514,1.5,1.5,0.5,4.0,0.62164307,0.022261947,0.0002470632,0.18235442,0.0041194847,1681.6666666666667,46.95000057170788,46.95000057170788,1.0
720000,0.93028384,1.4374136,1.0,1.0,0.5,0.5,0.36029986,0.02420184,0.0002462925,0.18209748,0.0041066646,4756.0,49.899999966472386,49.899999966472386,1.0
730000,1.0710216,1.4775245,0.0,1.0,1.0,3.0,0.26292264,0.0177283,0.00024552265,0.18184087,0.0040938584,3750.0,56.02500111423433,56.02500111423433,1.0
740000,1.2692188,1.3057526,0.5,1.5,2.0,0.5,0.52768767,0.02321135,0.0002447517,0.18158391,0.0040810355,2567.5,42.87500049546361,42.87500049546361,1.0
750000,1.3072548,1.2914724,1.0,0.5,0.5,0.5,0.43612355,0.023631139,0.00024398214,0.18132734,0.004068234,1871.0,43.583333703378834,43.583333703378834,1.0
760000,1.4454733,1.3512474,4.0,4.5,3.0,1.0,0.5996373,0.027538674,0.00024320962,0.18106985,0.004055386,2387.6,54.26000033542514,54.26000033542514,1.0
770000,1.5739901,1.2989041,4.5,3.0,4.5,5.0,0.551713,0.026185073,0.00024243447,0.18081146,0.0040424922,1797.2,45.8300002835691,45.8300002835691,1.0
780000,1.7480022,1.2662543,0.5,2.0,1.0,1.5,0.77336735,0.017711384,0.00024164918,0.18054968,0.00402943,2321.25,56.17499996442348,56.17499996442348,1.0
790000,1.7532316,1.2589877,1.5,3.0,1.5,2.0,0.46351513,0.025369724,0.00024087197,0.18029065,0.0040165028,2496.5,65.70000059250742,65.70000059250742,1.0
800000,1.9314173,1.2210274,3.5,3.5,4.0,0.0,0.72927016,0.025101153,0.00024010087,0.18003362,0.004003676,2789.5,71.76875045336783,71.76875045336783,1.0
810000,2.2762659,1.094133,0.0,0.0,0.0,0.0,0.8067036,0.022835005,0.00023932739,0.17977576,0.0039908118,3111.5,90.52500072680414,90.52500072680414,1.0
820000,2.337907,1.1309009,3.0,3.0,4.5,6.5,0.6788468,0.024068495,0.00023855593,0.17951865,0.003977979,929.0,39.96249982248992,39.96249982248992,1.0
830000,2.5565054,1.1003814,1.0,2.5,0.5,1.5,0.8617054,0.022652823,0.00023778329,0.17926112,0.003965127,1678.3333333333333,72.33333362763126,72.33333362763126,1.0
840000,2.613127,1.0765033,3.5,4.0,4.0,2.5,0.83918166,0.022708531,0.00023701046,0.17900352,0.003952273,1324.0,62.70999983921647,62.70999983921647,1.0
850000,2.791907,1.0393786,1.5,2.5,1.5,4.5,None,None,None,None,None,1027.25,52.660000211000444,52.660000211000444,1.0
860000,3.0219212,1.0107833,0.5,0.0,0.5,0.0,0.7913159,0.022958966,0.00023623789,0.17874591,0.0039394223,2395.8571428571427,87.81428629745331,87.81428629745331,1.0
870000,3.1793737,0.9457781,1.5,4.5,2.0,1.0,0.9246368,0.03267337,0.00023546527,0.17848839,0.00392657,2678.3333333333335,107.95000003402431,107.95000003402431,1.0
880000,3.2970033,0.96884614,2.0,1.0,2.0,1.0,0.83856064,0.022890324,0.00023469547,0.17823178,0.0039137667,1175.0,65.23333301457266,65.23333301457266,1.0
890000,3.6481292,0.88397735,0.0,0.0,0.0,0.0,0.9869469,0.018375615,0.00023392627,0.17797536,0.0039009727,935.3333333333334,54.599999874830246,54.599999874830246,1.0
900000,3.7662868,0.9060352,2.0,3.0,1.5,1.0,0.9554497,0.025192905,0.00023315806,0.17771931,0.0038881958,1897.0,100.42857108850565,100.42857108850565,1.0
910000,3.8718686,0.8896289,1.5,1.0,1.5,3.0,0.9292594,0.022956332,0.00023238933,0.1774631,0.0038754095,1700.0,100.46249965811148,100.46249965811148,1.0
920000,4.155322,0.7971001,2.0,1.5,2.5,3.0,0.9351812,0.029922694,0.00023161896,0.17720635,0.003862595,520.5,43.624999802559614,43.624999802559614,1.0
930000,4.28499,0.78860396,6.0,5.0,1.5,3.0,0.8661404,0.020295065,0.00023084736,0.17694908,0.0038497602,1307.5,80.9666664917022,80.9666664917022,1.0
940000,4.37767,0.78610504,1.0,1.5,2.0,1.5,0.75564617,0.03146537,0.00023007627,0.17669205,0.003836935,1865.7142857142858,118.14999952433365,118.14999952433365,1.0
950000,4.4758925,0.8104764,2.5,0.5,3.5,1.5,1.0286304,0.018377615,0.00022930659,0.17643552,0.003824132,1395.6666666666667,86.79999933888514,86.79999933888514,1.0
960000,4.731344,0.79221433,5.0,4.5,4.0,2.5,0.83589166,0.0243122,0.00022853624,0.17617877,0.0038113175,1969.3333333333333,126.73888871984349,126.73888871984349,1.0
970000,4.8761716,0.7882704,3.0,4.0,5.0,6.0,1.0137196,0.02345408,0.00022776482,0.17592157,0.0037984874,965.5714285714286,77.53571360771146,77.53571360771146,1.0
980000,5.1150866,0.76953095,4.5,2.0,4.5,3.5,0.7412027,0.023049287,0.00022699457,0.17566486,0.0037856763,1432.125,91.56249951804057,91.56249951804057,1.0
990000,5.215172,0.788867,2.0,2.0,3.0,4.0,0.8078407,0.027292468,0.00022622394,0.17540795,0.0037728574,991.8571428571429,76.98571395874023,76.98571395874023,1.0
1000000,5.320033,0.79954195,1.5,3.5,2.5,1.0,0.8800383,0.023545355,0.0002254516,0.17515048,0.00376001,1526.5714285714287,100.79285678693226,100.79285678693226,1.0
1010000,5.604841,0.7727803,1.5,2.0,2.0,3.5,0.95609,0.022813888,0.00022468329,0.17489439,0.003747231,1842.142857142857,130.85714219138026,130.85714219138026,1.0
1020000,5.6641827,0.7705979,1.0,2.5,1.0,1.0,0.8800522,0.02554056,0.0002239149,0.17463827,0.0037344492,1040.375,83.64999984716997,83.64999984716997,1.0
1030000,5.8608327,0.7403692,3.5,1.0,0.5,1.5,0.9376583,0.029303161,0.00022314518,0.1743817,0.0037216467,1900.125,137.1999992923811,137.1999992923811,1.0
1040000,6.0249205,0.7259705,2.5,2.0,2.5,2.0,0.89344823,0.0245715,0.00022237463,0.17412482,0.0037088303,1335.0,110.46428512143237,110.46428512143237,1.0
1050000,6.1038227,0.7513577,5.0,5.0,3.0,6.0,0.8502268,0.020934943,0.00022160572,0.17386858,0.0036960403,1571.7142857142858,125.94999961767878,125.94999961767878,1.0
1060000,6.2161613,0.7490688,2.0,1.0,0.5,4.0,0.7869816,0.025139619,0.00022083697,0.17361227,0.0036832537,795.5,71.48124962579459,71.48124962579459,1.0
1070000,6.3427477,0.74383616,1.5,3.0,1.5,2.0,0.8159395,0.016913407,0.00022005988,0.17335325,0.0036703283,1316.6666666666667,109.39444378018379,109.39444378018379,1.0
1080000,6.494949,0.72407526,4.5,4.5,4.0,2.0,0.86019254,0.026214696,0.00021928833,0.17309612,0.0036574954,1236.375,99.09999990276992,99.09999990276992,1.0
1090000,6.588637,0.7317951,4.0,5.0,3.5,4.0,0.99635386,0.02374659,0.000218517,0.17283902,0.0036446652,932.5,85.64374968316406,85.64374968316406,1.0
1100000,6.768515,0.700714,4.0,2.5,4.0,2.0,0.87999135,0.026448064,0.00021774803,0.17258267,0.0036318754,752.25,72.4437495637685,72.4437495637685,1.0
1110000,6.8912706,0.70661515,3.0,5.0,5.0,3.5,0.86223614,0.024579724,0.0002169766,0.17232554,0.003619043,1960.75,166.9937487929128,166.9937487929128,1.0
1120000,6.982341,0.7035601,5.0,5.5,2.5,3.0,0.83344275,0.020232765,0.00021620777,0.1720692,0.003606254,879.25,80.85624960809946,80.85624960809946,1.0
1130000,7.133429,0.72395176,3.0,4.0,3.0,5.0,0.85920376,0.016480599,0.00021543713,0.17181239,0.0035934364,1221.2222222222222,115.41666608634922,115.41666608634922,1.0
1140000,7.283084,0.7287142,2.5,3.0,3.0,1.5,0.8255444,0.025605418,0.00021466696,0.17155561,0.003580625,1403.4,129.64499913677574,129.64499913677574,1.0
1150000,7.406949,0.6990925,2.5,5.5,2.5,3.5,0.8260995,0.022652427,0.00021389866,0.17129952,0.003567846,1523.5555555555557,139.3944430616167,139.3944430616167,1.0
1160000,7.4872336,0.72908515,4.0,3.5,0.5,3.0,0.8733538,0.027658107,0.00021312632,0.17104207,0.0035550003,1160.5555555555557,107.89999898771445,107.89999898771445,1.0
1170000,7.610075,0.71562314,4.5,3.5,2.5,3.0,0.7940113,0.025795497,0.00021235515,0.17078501,0.003542173,927.7777777777778,88.1888881760339,88.1888881760339,1.0
1180000,7.73727,0.70055264,4.5,4.5,4.0,3.0,0.7912557,0.02379009,0.00021158408,0.170528,0.0035293482,901.5555555555555,89.10555452605088,89.10555452605088,1.0
1190000,7.874351,0.69190025,3.0,3.5,3.0,4.0,0.9123104,0.023932057,0.00021081598,0.17027195,0.0035165711,1075.3,104.58499895296991,104.58499895296991,1.0
1200000,7.9790206,0.6806332,1.5,2.5,2.5,4.0,0.87502784,0.02635815,0.0002100449,0.17001492,0.0035037464,995.1111111111111,92.7444440205064,92.7444440205064,1.0
1210000,8.145115,0.67089444,5.0,3.0,4.0,1.0,0.9435459,0.026615418,0.00020927626,0.16975877,0.0034909616,1075.0,113.97499865368009,113.97499865368009,1.0
1220000,8.280834,0.66616964,2.0,3.0,3.0,5.0,0.8396862,0.017371468,0.00020850034,0.16950016,0.0034780554,714.7777777777778,85.55555486679077,85.55555486679077,1.0
1230000,8.385019,0.67052484,3.0,4.0,2.5,2.5,None,None,None,None,None,989.8888888888889,117.32499914467334,117.32499914467334,1.0
1240000,8.414239,0.6528789,2.0,3.5,3.0,4.5,0.94068915,0.026115896,0.00020772764,0.16924252,0.0034652026,1003.9,101.76499963402748,101.76499963402748,1.0
1250000,8.542,0.64212734,0.5,0.5,1.5,0.5,0.862194,0.019565368,0.00020695952,0.16898647,0.0034524268,818.1,86.74999958276749,86.74999958276749,1.0
1260000,8.581878,0.6458205,3.0,3.0,2.0,1.5,0.8255441,0.0190061,0.00020618207,0.16872735,0.0034394935,1005.6666666666666,104.05555486679077,104.05555486679077,1.0
1270000,8.691046,0.64765143,5.0,3.0,1.0,5.0,0.9198576,0.02550477,0.00020540929,0.16846977,0.0034266408,499.4,59.58499946594238,59.58499946594238,1.0
1280000,8.645136,0.63696647,3.5,5.0,2.5,3.5,0.8224449,0.028051881,0.00020463827,0.16821276,0.0034138164,1772.7777777777778,170.12777624941535,170.12777624941535,1.0
1290000,8.780157,0.63275844,6.0,6.0,7.0,7.0,0.9266103,0.0177424,0.00020386983,0.16795665,0.0034010343,1316.9,133.50999859794973,133.50999859794973,1.0
1300000,8.848096,0.6219612,3.5,2.5,1.5,4.0,0.925793,0.025868027,0.00020309999,0.16769995,0.0033882281,1347.3,140.53999891243876,140.53999891243876,1.0
1310000,8.91278,0.6356894,3.5,2.5,4.0,3.5,0.88610166,0.031789534,0.00020233185,0.16744392,0.0033754534,901.1,100.42499889731407,100.42499889731407,1.0
1320000,9.022876,0.62505007,5.0,5.5,4.5,5.0,0.8652347,0.019012997,0.00020156273,0.16718756,0.0033626582,923.8,98.30499940030276,98.30499940030276,1.0
1330000,9.106894,0.6295101,0.5,0.5,1.5,1.0,0.8182382,0.021287253,0.00020079255,0.16693081,0.003349848,978.8,113.86499903202056,113.86499903202056,1.0
1340000,9.219786,0.6260913,3.0,5.5,3.5,3.5,0.8890234,0.021718169,0.00020002358,0.16667455,0.003337058,1107.6363636363637,116.34090787544847,116.34090787544847,1.0
1350000,9.26611,0.6130864,5.0,3.0,5.5,4.0,0.8513443,0.028497923,0.00019925367,0.1664179,0.0033242526,847.4,95.75999960899352,95.75999960899352,1.0
1360000,9.359612,0.61761826,3.0,3.5,2.0,3.0,0.81942254,0.018926533,0.00019848354,0.16616115,0.003311442,1145.7,125.78999925367535,125.78999925367535,1.0
1370000,9.454372,0.6135491,4.0,1.0,5.0,2.0,0.79403716,0.023417182,0.00019771326,0.16590443,0.0032986302,934.9090909090909,102.83636264367537,102.83636264367537,1.0
1380000,9.495382,0.59818506,4.5,2.5,3.5,4.0,0.9723404,0.015020686,0.00019694443,0.16564812,0.003285841,618.5555555555555,75.01111057069566,75.01111057069566,1.0
1390000,9.58293,0.6078846,2.5,2.0,4.0,4.5,0.7522625,0.023122856,0.0001961758,0.16539192,0.0032730564,821.9090909090909,94.82272665710612,94.82272665710612,1.0
1400000,9.614179,0.5703198,4.0,4.0,3.5,2.5,0.8552288,0.025322357,0.00019540435,0.16513477,0.0032602244,1042.5,120.80999904870987,120.80999904870987,1.0
1410000,9.607711,0.5809452,3.5,1.5,1.0,3.0,0.8892418,0.027124733,0.00019462743,0.16487584,0.003247303,1392.2222222222222,145.19444350525737,145.19444350525737,1.0
1420000,9.660614,0.5765401,1.5,3.0,1.5,5.0,0.86253744,0.026366003,0.00019385836,0.16461942,0.0032345084,1010.7,113.42999915592372,113.42999915592372,1.0
1430000,9.733755,0.58285755,3.5,2.5,5.0,4.5,0.7891321,0.025193503,0.00019308798,0.16436261,0.0032216967,795.6,93.7799990683794,93.7799990683794,1.0
1440000,9.791191,0.57222193,1.5,2.5,1.5,2.5,0.868653,0.020636436,0.00019231859,0.16410622,0.0032088982,1206.7777777777778,138.88333146563835,138.88333146563835,1.0
1450000,9.812222,0.5764022,3.0,3.0,3.0,2.0,0.85584944,0.026597908,0.00019154647,0.16384882,0.0031960546,691.0,81.19999997615814,81.19999997615814,1.0
1460000,9.8693495,0.5605355,1.0,3.5,2.5,2.5,0.8251323,0.02710841,0.00019077578,0.16359189,0.003183236,1330.8181818181818,142.84090760350227,142.84090760350227,1.0
1470000,9.918362,0.570647,1.5,1.0,3.0,3.5,0.95083827,0.02782818,0.0001900052,0.16333503,0.0031704183,707.0,88.9545447403057,88.9545447403057,1.0
1480000,9.939093,0.5715138,1.0,1.0,0.5,1.0,0.8533205,0.02831674,0.00018923456,0.16307822,0.003157601,906.8,106.84999942779541,106.84999942779541,1.0
1490000,10.015963,0.5597896,4.0,5.0,5.0,1.5,0.8404323,0.024877783,0.00018846536,0.16282177,0.003144807,999.3636363636364,121.17727188630538,121.17727188630538,1.0
1500000,10.084615,0.54326206,3.0,4.0,2.0,2.0,0.92307,0.020531815,0.00018769232,0.16256413,0.0031319484,1031.3636363636363,118.79545372182673,118.79545372182673,1.0
1510000,10.0992,0.5553545,2.0,2.5,2.0,4.5,0.8018555,0.03040181,0.00018691976,0.1623066,0.0031190973,1060.090909090909,122.4599989414215,122.4599989414215,1.0
1520000,10.091026,0.5612021,5.0,3.0,4.0,1.5,0.78547674,0.021451818,0.0001861487,0.16204959,0.0031062728,1032.8,114.89999895204197,114.89999895204197,1.0
1530000,10.171139,0.53632295,1.0,2.0,2.0,2.0,0.8684152,0.022937166,0.00018537775,0.16179258,0.0030934487,712.3,85.48999938964843,85.48999938964843,1.0
1540000,10.17987,0.5454874,3.5,3.5,2.0,2.0,0.9622833,0.026135325,0.00018460614,0.16153534,0.0030806137,915.0909090909091,104.64090820876035,104.64090820876035,1.0
1550000,10.181812,0.53565264,3.5,5.0,4.5,4.0,0.8022061,0.020230623,0.00018383421,0.16127808,0.0030677752,943.9,116.32499928474427,116.32499928474427,1.0
1560000,10.226369,0.52258486,3.0,3.5,2.0,3.5,0.762679,0.02562452,0.00018305694,0.16101892,0.003054845,1031.7272727272727,113.50908990813927,113.50908990813927,1.0
1570000,10.317457,0.5578332,3.0,2.0,3.0,2.5,0.8691513,0.024059575,0.00018228608,0.160762,0.0030420253,792.1818181818181,96.0954536578872,96.0954536578872,1.0
1580000,10.320772,0.5506242,4.0,3.5,2.0,5.0,0.7737714,0.023095798,0.0001815172,0.16050574,0.0030292354,1170.5454545454545,138.61818024888635,138.61818024888635,1.0
1590000,10.355351,0.52735794,2.0,2.0,2.5,3.0,None,None,None,None,None,1011.9090909090909,117.54090743274851,117.54090743274851,1.0
1600000,10.481961,0.52700895,4.0,4.5,3.0,3.5,0.7641704,0.029484613,0.00018074652,0.16024882,0.0030164171,869.5,105.47999951355159,105.47999951355159,1.0
1610000,10.455109,0.53294754,1.0,3.0,1.0,4.0,0.99405247,0.021212496,0.0001799785,0.15999277,0.003003641,606.1818181818181,77.96818116036329,77.96818116036329,1.0
1620000,10.450021,0.51485044,2.0,2.5,2.5,2.0,0.87913924,0.024449836,0.00017920662,0.15973555,0.0029908032,1228.8,143.1049983739853,143.1049983739853,1.0
1630000,10.468622,0.52175176,2.5,2.0,0.0,1.5,0.91556364,0.02543396,0.00017843522,0.15947837,0.0029779703,891.0909090909091,101.7409083572301,101.7409083572301,1.0
